																1.29	1.55	1.66
																1.45	1.75	1.9
																1.75	2.07	2.11
																2.1	2.37	2.48
		1.23					1.14					1.73			2.36	2.47	2.76	2.92
		2.01					1.97					2.47			3.05	3.14	3.18	3.33
		2.8					2.69					3.04			3.55	3.39	3.4	3.79
		3.4					3.48					3.86			3.98	4.2	4.25	4.1
		4.24					4.23					4.51			4.71	4.71	4.7	4.81
		5.16					5.1					5.25			5.35	5.29	5.33	5.26
		5.83					5.97					6.03			5.98	5.91	5.81	5.71
		6.52					6.69					6.82			6.51	6.58	6.3	6.27
		7.5					7.51					7.48			7.05	7.04	6.96	6.89
		8.28					8.25					8.18			7.69	7.55	7.33	7.1
		9.21					9.22					9.06			8.28	8.03	7.92	7.86
																8.54	8.34	8.23
																9.02	8.66	8.57
																9.3	8.91	8.79
																9.33	9.11	8.95
